"EN_DRUG"	"EN_LABEL"	"ES_DRUG"	"ES_LABEL"	"DE_DRUG"	"DE_LABEL"
"weight"	"Pick some Drugs"	"weight"	"Elije algunas Drogas"	"weight"	
"Alcohol"	"Select at least two substances"	"Alcohol"	"Selecciona por lo menos dos sustancias"	" Alkohol "	
"Heroin"	"Choose harm categories"	"Heroína"	"Selecciona categorí­as de Riesgos"	" Heroin "	
"Crack"	"A project by"	"Crack"	"Un proyecto de"	" Crack "	
"Methylamphet"		"Methylamfet"		" Methylamphet "	
"Cocaine"		"Cocaína"		" Kokain "	
"Tobacco"		"Tabaco"		" Tabak "	
"Amphetamine"		"Anfetamina"		" Amphetamin "	
"Cannabis"		"Cannabis"		" Cannabis "	
"GHB"		"GHB"		" GHB "	
"Benzodiazepines"		"Benzodiazepinas"		" Benzodiazepine "	
"Ketamine"		"Ketamina"		" Ketamin "	
"Methadone"		"Metadona"		" Methadon "	
"Mephedrone"		"Mefedrona"		" Mephedron "	
"Butane"		"Butano"		" Butan "	
"Khat"		"Khat"		" Khat "	
"Anabolic Steroids"		"Esteroídes Anabólicos"		" Anabolika "	
"Ecstasy"		"Éxtasis"		" Ecstasy "	
"LSD"		"LSD"		" LSD "	
"Buprenorphine"		"Buprenorfina"		" Buprenorphin "	
"Mushrooms"		"Hongos Halucinógenos"		" Pilze"	
